                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1112,                 4.0751,                 1.9409,                0.62424,                0.37004,                0.43142,                0.18418,                 2.0928,                 2.9006,                  2.203,             0.00010724,             0.00010724,             0.00010724
                      2,                 1.8527,                 2.6909,                  1.763,                0.61465,                0.45706,                0.45588,                0.20031,                 1.9398,                 2.4487,                 1.8383,             0.00021065,             0.00021065,             0.00021065
                      3,                 1.8207,                 2.3764,                 1.7454,                0.54574,                0.43619,                0.34715,                0.14392,                 2.0939,                 2.9252,                 2.1202,              0.0003098,              0.0003098,              0.0003098
                      4,                 1.7742,                 2.1609,                 1.7154,                0.61149,                0.47929,                0.57605,                0.25008,                 2.1742,                  2.474,                 2.1083,             0.00030381,             0.00030381,             0.00030381
                      5,                 1.7253,                 1.9889,                 1.6789,                0.46963,                0.64286,                0.70614,                 0.3865,                 1.8672,                 1.4769,                 1.8928,             0.00030381,             0.00030381,             0.00030381
                      6,                 1.6715,                 1.8775,                 1.6667,                0.64886,                0.77452,                0.71623,                0.31337,                 2.0716,                 1.7109,                 2.0733,             0.00029742,             0.00029742,             0.00029742
                      7,                 1.6321,                 1.7183,                 1.6121,                0.51427,                0.65472,                0.73705,                 0.4207,                  1.908,                 1.8815,                 1.9294,             0.00029102,             0.00029102,             0.00029102
                      8,                 1.5639,                 1.5366,                 1.5665,                0.66427,                0.74397,                0.74007,                 0.4008,                 1.8716,                  1.526,                 1.9854,             0.00028463,             0.00028463,             0.00028463
                      9,                 1.5153,                 1.4526,                 1.5497,                0.83875,                0.72048,                0.72191,                0.37745,                 1.9154,                 1.3098,                  2.014,             0.00027823,             0.00027823,             0.00027823
                     10,                 1.4769,                 1.3595,                 1.5079,                 0.7849,                 0.6641,                 0.7338,                 0.4343,                 1.9843,                 1.2734,                 2.0687,             0.00027184,             0.00027184,             0.00027184
